=== MATCH SCHEDULE FOR SATURDAY ===
03:30 PM - 04:00 PM | DXD34  | Court 16
03:30 PM - 04:00 PM | DXD35  | Court 17
03:30 PM - 04:00 PM | DXD36  | Court 17
03:30 PM - 04:00 PM | DXD37  | Court 11
03:30 PM - 04:00 PM | DXD38  | Court 12
03:30 PM - 04:00 PM | DXD39  | Court 13
03:30 PM - 04:00 PM | DXD40  | Court 14
03:30 PM - 04:00 PM | DXD41  | Court 1
03:30 PM - 04:00 PM | DXD42  | Court 2
03:30 PM - 04:00 PM | DXD43  | Court 3
03:30 PM - 04:00 PM | DXD44  | Court 4
03:30 PM - 04:00 PM | DXD45  | Court 5
03:30 PM - 04:00 PM | DXD46  | Court 6
03:30 PM - 04:00 PM | DXD47  | Court 7
03:30 PM - 04:00 PM | DXD48  | Court 8
03:30 PM - 04:00 PM | BXD4   | Court 9
03:30 PM - 04:00 PM | BXD6   | Court 10
04:00 PM - 04:30 PM | BXD8   | Court 11
04:00 PM - 04:30 PM | BXD9   | Court 12
04:00 PM - 04:30 PM | BXD11  | Court 13
04:00 PM - 04:30 PM | BXD13  | Court 14
04:00 PM - 04:30 PM | BXD15  | Court 1
04:00 PM - 04:30 PM | DWS17  | Court 15
04:00 PM - 04:30 PM | DWS18  | Court 16
04:00 PM - 04:30 PM | DWS19  | Court 17
04:00 PM - 04:30 PM | DWS20  | Court 17
04:00 PM - 04:30 PM | DWS21  | Court 2
04:00 PM - 04:30 PM | DWS22  | Court 3
04:00 PM - 04:30 PM | DWS23  | Court 4
04:00 PM - 04:30 PM | DWS24  | Court 5
04:00 PM - 04:30 PM | CMS113 | Court 6
04:00 PM - 04:30 PM | CMS114 | Court 7
04:00 PM - 04:30 PM | CMS115 | Court 8
04:00 PM - 04:30 PM | CMS116 | Court 9
04:00 PM - 04:30 PM | CMS117 | Court 10
04:30 PM - 05:00 PM | CMS118 | Court 15
04:30 PM - 05:00 PM | CMS119 | Court 16
04:30 PM - 05:00 PM | CMS120 | Court 17
04:30 PM - 05:00 PM | CWS2   | Court 17
04:30 PM - 05:00 PM | CWS3   | Court 11
04:30 PM - 05:00 PM | CWS4   | Court 12
04:30 PM - 05:00 PM | CWS5   | Court 13
04:30 PM - 05:00 PM | CWS6   | Court 14
04:30 PM - 05:00 PM | CWS7   | Court 1
04:30 PM - 05:00 PM | BMS17  | Court 2
04:30 PM - 05:00 PM | BMS18  | Court 3
04:30 PM - 05:00 PM | BMS19  | Court 4
04:30 PM - 05:00 PM | BMS20  | Court 5
04:30 PM - 05:00 PM | BMS21  | Court 6
04:30 PM - 05:00 PM | BMS22  | Court 7
04:30 PM - 05:00 PM | BMS23  | Court 8
04:30 PM - 05:00 PM | BMS24  | Court 9
04:30 PM - 05:00 PM | DMS113 | Court 10
05:00 PM - 05:30 PM | DMS114 | Court 15
05:00 PM - 05:30 PM | DMS115 | Court 16
05:00 PM - 05:30 PM | DMS116 | Court 17
05:00 PM - 05:30 PM | DMS117 | Court 17
05:00 PM - 05:30 PM | DMS118 | Court 11
05:00 PM - 05:30 PM | DMS119 | Court 12
05:00 PM - 05:30 PM | DMS120 | Court 13
